"age_band","sex","n","observed_deaths","expected_deaths","observed_mortality","expected_mortality","excess_per_1000","oe_ratio"
"0-4","female",5155,311,0.125215259022389,0.0603297769156159,2.42900599461472e-05,60.3054868556698,2483.72284997943
"0-4","male",4889,313,0.154084103501153,0.0640212722438126,3.15164867050835e-05,63.9897557571076,2031.35815368298
"5-17","female",17055,1111,0.338936959090008,0.0651421870419232,1.98731726232781e-05,65.1223138692999,3277.89569772166
"5-17","male",16559,1123,0.404792946895569,0.0678181049580289,2.44454947095579e-05,67.7936594633193,2774.25782393812
"18-39","female",27258,1517,1.97831815584741,0.0556533861618607,7.25775242441638e-05,55.5808086376166,766.812959541482
"18-39","male",26472,1511,3.28783931944329,0.0570791779993956,0.000124200639144878,56.9549773602507,459.572337086063
"40-64","female",31656,2400,20.4703080145727,0.0758150113722517,0.000646648597882664,75.168362774369,117.242984242907
"40-64","male",30792,2347,28.1076285499573,0.0762210963886724,0.000912822439268496,75.3082739494039,83.5004630799266
"65-85","female",20284,9496,74.5977617001185,0.468152238217314,0.00367766523861774,464.474572978696,127.296044594122
"65-85","male",19880,9318,110.059260821039,0.468712273641851,0.00553618012178236,463.176093520069,84.6634797516176
