"age_band","level","n","observed_deaths","expected_deaths","observed_mortality","expected_mortality","excess_per_1000","oe_ratio","risk_factor"
"0-4","female",5155,311,0.125215259022389,0.0603297769156159,2.42900599461472e-05,60.3054868556698,2483.72284997943,"Sex"
"0-4","male",4889,313,0.154084103501153,0.0640212722438126,3.15164867050835e-05,63.9897557571076,2031.35815368298,"Sex"
"5-17","female",17055,1111,0.338936959090008,0.0651421870419232,1.98731726232781e-05,65.1223138692999,3277.89569772166,"Sex"
"5-17","male",16559,1123,0.404792946895569,0.0678181049580289,2.44454947095579e-05,67.7936594633193,2774.25782393812,"Sex"
"18-39","female",27258,1517,1.97831815584741,0.0556533861618607,7.25775242441638e-05,55.5808086376166,766.812959541482,"Sex"
"18-39","male",26472,1511,3.28783931944329,0.0570791779993956,0.000124200639144878,56.9549773602507,459.572337086063,"Sex"
"40-64","female",31656,2400,20.4703080145727,0.0758150113722517,0.000646648597882664,75.168362774369,117.242984242907,"Sex"
"40-64","male",30792,2347,28.1076285499573,0.0762210963886724,0.000912822439268496,75.3082739494039,83.5004630799266,"Sex"
"65-85","female",20284,9496,74.5977617001185,0.468152238217314,0.00367766523861774,464.474572978696,127.296044594122,"Sex"
"65-85","male",19880,9318,110.059260821039,0.468712273641851,0.00553618012178236,463.176093520069,84.6634797516176,"Sex"
"0-4","No",4988,282,0.16911142907258,0.0565356856455493,3.39036545855213e-05,56.5017819909638,1667.53957166887,"School membership"
"0-4","Yes",5056,342,0.110187933450962,0.0676424050632911,2.1793499495839e-05,67.6206115637953,3103.78813077753,"School membership"
"5-17","Yes",33614,2234,0.743729905985577,0.0664604034033438,2.2125599630677e-05,66.4382778037132,3003.77863256627,"School membership"
"18-39","No",50587,2800,5.11559508528863,0.0553501887836796,0.000101124697754117,55.2490640859255,547.345900783314,"School membership"
"18-39","Yes",3143,228,0.150562390003122,0.0725421571746739,4.79040375447412e-05,72.4942531371291,1514.32240146608,"School membership"
"40-64","No",62448,4747,48.5779365645276,0.0760152446835767,0.000777894193001043,75.2373504905757,97.7192597238957,"School membership"
"65-85","No",40164,18814,184.657022521138,0.468429439298875,0.00459757550346469,463.83186379541,101.88618739288,"School membership"
"0-4","No",10044,624,0.279299362523542,0.0621266427718041,2.78075828876486e-05,62.0988351889164,2234.16191989125,"Workplace membership"
"5-17","No",33614,2234,0.743729905985577,0.0664604034033438,2.2125599630677e-05,66.4382778037132,3003.77863256627,"Workplace membership"
"18-39","No",3143,228,0.150562390003122,0.0725421571746739,4.79040375447412e-05,72.4942531371291,1514.32240146608,"Workplace membership"
"18-39","Yes",50587,2800,5.11559508528863,0.0553501887836796,0.000101124697754117,55.2490640859255,547.345900783314,"Workplace membership"
"40-64","Yes",62448,4747,48.5779365645276,0.0760152446835767,0.000777894193001043,75.2373504905757,97.7192597238957,"Workplace membership"
"65-85","No",37666,17954,179.818087276473,0.476663303775288,0.00477401601647344,471.889287758815,99.8453507760622,"Workplace membership"
"65-85","Yes",2498,860,4.83893524466693,0.344275420336269,0.00193712379690429,342.338296539365,177.725048283674,"Workplace membership"
